country,date,Unnamed: 0,Confirmed,Deaths,Last Update,Latitude,Longitude,province,Recovered,name,pop2020,confirmed_percent,% Confirmed
Algeria,2020-03-02,3022,3.0,0.0,2020-03-02T00:53:03,28.0339,1.6596,,0.0,Algeria,43851.044,6.841342249457048e-08,6.841342249457048e-06
Algeria,2020-03-03,3160,5.0,0.0,2020-03-03T03:23:03,28.0339,1.6596,,0.0,Algeria,43851.044,1.1402237082428414e-07,1.1402237082428414e-05
Algeria,2020-03-04,3300,12.0,0.0,2020-03-04T19:33:03,28.0339,1.6596,,0.0,Algeria,43851.044,2.7365368997828193e-07,2.7365368997828193e-05
Algeria,2020-03-05,3467,12.0,0.0,2020-03-04T19:33:03,28.0339,1.6596,,0.0,Algeria,43851.044,2.7365368997828193e-07,2.7365368997828193e-05
Algeria,2020-03-06,3639,17.0,0.0,2020-03-06T01:29:39,28.0339,1.6596,,0.0,Algeria,43851.044,3.876760608025661e-07,3.876760608025661e-05
Algeria,2020-03-07,3842,17.0,0.0,2020-03-06T01:29:39,28.0339,1.6596,,0.0,Algeria,43851.044,3.876760608025661e-07,3.876760608025661e-05
Algeria,2020-03-08,4069,19.0,0.0,2020-03-08T05:23:03,28.0339,1.6596,,0.0,Algeria,43851.044,4.3328500913227974e-07,4.332850091322797e-05
Algeria,2020-03-09,4324,20.0,0.0,2020-03-09T10:13:06,28.0339,1.6596,,0.0,Algeria,43851.044,4.5608948329713654e-07,4.5608948329713654e-05
Algeria,2020-03-10,4596,20.0,0.0,2020-03-09T10:13:06,28.0339,1.6596,,0.0,Algeria,43851.044,4.5608948329713654e-07,4.5608948329713654e-05
Algeria,2020-03-11,4811,20.0,0.0,2020-03-09T10:13:06,28.0339,1.6596,,0.0,Algeria,43851.044,4.5608948329713654e-07,4.5608948329713654e-05
Algeria,2020-03-12,5024,24.0,1.0,2020-03-12T09:13:24,28.0339,1.6596,,8.0,Algeria,43851.044,5.473073799565639e-07,5.4730737995656386e-05
Algeria,2020-03-13,5210,26.0,2.0,2020-03-11T20:00:00,28.0339,1.6596,,8.0,Algeria,43851.044,5.929163282862776e-07,5.9291632828627756e-05
Algeria,2020-03-14,5488,37.0,3.0,2020-03-14T12:33:03,28.0339,1.6596,,12.0,Algeria,43851.044,8.437655440997026e-07,8.437655440997026e-05
Andorra,2020-03-02,3042,1.0,0.0,2020-03-02T20:23:16,42.5063,1.5218,,0.0,Andorra,77.265,1.2942470717660001e-05,0.0012942470717660001
Andorra,2020-03-03,3190,1.0,0.0,2020-03-02T20:23:16,42.5063,1.5218,,0.0,Andorra,77.265,1.2942470717660001e-05,0.0012942470717660001
Andorra,2020-03-04,3349,1.0,0.0,2020-03-02T20:23:16,42.5063,1.5218,,0.0,Andorra,77.265,1.2942470717660001e-05,0.0012942470717660001
Andorra,2020-03-05,3520,1.0,0.0,2020-03-02T20:23:16,42.5063,1.5218,,0.0,Andorra,77.265,1.2942470717660001e-05,0.0012942470717660001
Andorra,2020-03-06,3706,1.0,0.0,2020-03-02T20:23:16,42.5063,1.5218,,0.0,Andorra,77.265,1.2942470717660001e-05,0.0012942470717660001
Andorra,2020-03-07,3920,1.0,0.0,2020-03-02T20:23:16,42.5063,1.5218,,0.0,Andorra,77.265,1.2942470717660001e-05,0.0012942470717660001
Andorra,2020-03-08,4167,1.0,0.0,2020-03-02T20:23:16,42.5063,1.5218,,0.0,Andorra,77.265,1.2942470717660001e-05,0.0012942470717660001
Andorra,2020-03-09,4432,1.0,0.0,2020-03-02T20:23:16,42.5063,1.5218,,0.0,Andorra,77.265,1.2942470717660001e-05,0.0012942470717660001
Andorra,2020-03-10,4679,1.0,0.0,2020-03-02T20:23:16,42.5063,1.5218,,0.0,Andorra,77.265,1.2942470717660001e-05,0.0012942470717660001
Andorra,2020-03-11,4897,1.0,0.0,2020-03-02T20:23:16,42.5063,1.5218,,0.0,Andorra,77.265,1.2942470717660001e-05,0.0012942470717660001
Andorra,2020-03-12,5119,1.0,0.0,2020-03-12T23:44:32,42.5063,1.5218,,1.0,Andorra,77.265,1.2942470717660001e-05,0.0012942470717660001
Andorra,2020-03-13,5272,1.0,0.0,2020-03-11T20:00:00,42.5063,1.5218,,0.0,Andorra,77.265,1.2942470717660001e-05,0.0012942470717660001
Andorra,2020-03-14,5595,1.0,0.0,2020-03-13T22:22:02,42.5063,1.5218,,1.0,Andorra,77.265,1.2942470717660001e-05,0.0012942470717660001
Antigua and Barbuda,2020-03-13,5274,1.0,0.0,2020-03-11T20:00:00,17.0608,-61.7964,,0.0,Antigua and Barbuda,97.929,1.0211479745529924e-05,0.0010211479745529924
Antigua and Barbuda,2020-03-14,5596,1.0,0.0,2020-03-13T22:22:06,17.0608,-61.7964,,0.0,Antigua and Barbuda,97.929,1.0211479745529924e-05,0.0010211479745529924
Argentina,2020-03-03,3191,1.0,0.0,2020-03-03T17:43:02,-38.4161,-63.6167,,0.0,Argentina,45195.774,2.2125962484899585e-08,2.2125962484899583e-06
Argentina,2020-03-04,3350,1.0,0.0,2020-03-04T01:33:07,-38.4161,-63.6167,,0.0,Argentina,45195.774,2.2125962484899585e-08,2.2125962484899583e-06
Argentina,2020-03-05,3521,1.0,0.0,2020-03-04T01:33:07,-38.4161,-63.6167,,0.0,Argentina,45195.774,2.2125962484899585e-08,2.2125962484899583e-06
Argentina,2020-03-06,3684,2.0,0.0,2020-03-06T01:29:39,-38.4161,-63.6167,,0.0,Argentina,45195.774,4.425192496979917e-08,4.425192496979917e-06
Argentina,2020-03-07,3859,8.0,0.0,2020-03-07T02:13:09,-38.4161,-63.6167,,0.0,Argentina,45195.774,1.7700769987919668e-07,1.7700769987919667e-05
Argentina,2020-03-08,4081,12.0,1.0,2020-03-08T22:03:11,-38.4161,-63.6167,,0.0,Argentina,45195.774,2.65511549818795e-07,2.65511549818795e-05
Argentina,2020-03-09,4342,12.0,1.0,2020-03-08T22:03:11,-38.4161,-63.6167,,0.0,Argentina,45195.774,2.65511549818795e-07,2.65511549818795e-05
Argentina,2020-03-10,4602,17.0,1.0,2020-03-10T05:13:07,-38.4161,-63.6167,,0.0,Argentina,45195.774,3.761413622432929e-07,3.761413622432929e-05
Argentina,2020-03-11,4814,19.0,1.0,2020-03-11T02:18:16,-38.4161,-63.6167,,0.0,Argentina,45195.774,4.203932872130921e-07,4.203932872130921e-05
Argentina,2020-03-12,5035,19.0,1.0,2020-03-11T02:18:16,-38.4161,-63.6167,,0.0,Argentina,45195.774,4.203932872130921e-07,4.203932872130921e-05
Argentina,2020-03-13,5281,31.0,2.0,2020-03-11T20:00:00,-38.4161,-63.6167,,0.0,Argentina,45195.774,6.859048370318871e-07,6.859048370318871e-05
Argentina,2020-03-14,5490,34.0,2.0,2020-03-14T20:33:03,-38.4161,-63.6167,,1.0,Argentina,45195.774,7.522827244865858e-07,7.522827244865858e-05
