country,date,Unnamed: 0,Confirmed,Deaths,Last Update,Latitude,Longitude,province,Recovered,name,pop2020,confirmed_percent,% Confirmed,days100
China,2020-03-11,4759,174.0,2.0,2020-03-11T02:18:14,24.974,101.487,Yunnan,170.0,,,,,1
China,2020-03-11,4760,168.0,6.0,2020-03-11T02:18:14,19.1959,109.7453,Hainan,159.0,,,,,1
China,2020-03-11,4762,146.0,2.0,2020-03-11T02:33:03,26.8154,106.8748,Guizhou,133.0,,,,,1
China,2020-03-11,4763,136.0,3.0,2020-03-11T02:18:14,39.3054,117.323,Tianjin,131.0,,,,,1
China,2020-03-11,4764,133.0,0.0,2020-03-11T02:18:14,37.5777,112.2922,Shanxi,131.0,,,,,1
China,2020-03-11,4765,127.0,2.0,2020-03-11T14:33:03,37.8099,101.0583,Gansu,88.0,,,,,1
China,2020-03-11,4766,126.0,3.0,2020-03-11T18:52:03,22.3,114.2,Hong Kong,65.0,,,,,1
China,2020-03-11,4767,125.0,1.0,2020-03-11T02:18:14,41.2956,122.6085,Liaoning,111.0,,,,,1
China,2020-03-12,4935,67781.0,3056.0,2020-03-12T09:53:06,30.9756,112.2707,Hubei,50318.0,,,,,2
China,2020-03-12,4942,1356.0,8.0,2020-03-12T03:53:02,23.3417,113.4244,Guangdong,1289.0,,,,,2
China,2020-03-12,4943,1273.0,22.0,2020-03-11T08:13:09,33.882,113.614,Henan,1249.0,,,,,2
China,2020-03-12,4944,1215.0,1.0,2020-03-12T01:33:02,29.1832,120.0934,Zhejiang,1197.0,,,,,2
China,2020-03-12,4945,1018.0,4.0,2020-03-12T09:53:06,27.6104,111.7088,Hunan,999.0,,,,,2
China,2020-03-12,4946,990.0,6.0,2020-03-11T02:18:14,31.8257,117.2264,Anhui,984.0,,,,,2
China,2020-03-12,4947,935.0,1.0,2020-03-12T02:13:04,27.614,115.7221,Jiangxi,934.0,,,,,2
China,2020-03-12,4948,760.0,6.0,2020-03-12T07:53:02,36.3427,118.1498,Shandong,734.0,,,,,2
China,2020-03-12,4953,631.0,0.0,2020-03-12T05:13:02,32.9711,119.455,Jiangsu,629.0,,,,,2
China,2020-03-12,4956,576.0,6.0,2020-03-12T23:44:32,30.0572,107.874,Chongqing,564.0,,,,,2
China,2020-03-12,4957,539.0,3.0,2020-03-12T12:13:07,30.6171,102.7103,Sichuan,498.0,,,,,2
China,2020-03-12,4959,482.0,13.0,2020-03-12T13:13:31,47.862,127.7615,Heilongjiang,441.0,,,,,2
China,2020-03-12,4962,435.0,8.0,2020-03-12T01:13:05,40.1824,116.4142,Beijing,334.0,,,,,2
China,2020-03-12,4963,344.0,3.0,2020-03-12T07:53:02,31.202,121.4491,Shanghai,321.0,,,,,2
China,2020-03-12,4965,318.0,6.0,2020-03-12T05:33:02,39.549,116.1306,Hebei,308.0,,,,,2
China,2020-03-12,4968,296.0,1.0,2020-03-11T02:18:14,26.0789,117.9874,Fujian,295.0,,,,,2
China,2020-03-12,4970,252.0,2.0,2020-03-12T00:33:06,23.8298,108.7881,Guangxi,241.0,,,,,2
China,2020-03-12,4971,245.0,2.0,2020-03-12T01:33:02,35.1917,108.8701,Shaanxi,232.0,,,,,2
China,2020-03-12,4975,174.0,2.0,2020-03-11T02:18:14,24.974,101.487,Yunnan,170.0,,,,,2
China,2020-03-12,4976,168.0,6.0,2020-03-12T03:53:02,19.1959,109.7453,Hainan,160.0,,,,,2
China,2020-03-12,4978,146.0,2.0,2020-03-12T01:13:06,26.8154,106.8748,Guizhou,137.0,,,,,2
China,2020-03-12,4979,136.0,3.0,2020-03-12T01:53:03,39.3054,117.323,Tianjin,132.0,,,,,2
China,2020-03-12,4980,133.0,0.0,2020-03-12T09:13:24,37.5777,112.2922,Shanxi,132.0,,,,,2
China,2020-03-12,4982,129.0,3.0,2020-03-12T01:53:02,22.3,114.2,Hong Kong,67.0,,,,,2
China,2020-03-12,4983,127.0,2.0,2020-03-11T14:33:03,37.8099,101.0583,Gansu,88.0,,,,,2
