country,date,Unnamed: 0,Confirmed,Deaths,Recovered,name,pop2020,PercentOfPopulationConfirmedDecimal,PercentOfPopulationConfirmed,MortalityDecimal,MortalityPercent,active,PercentOfPopulationActiveDecimal,PercentOfPopulationActive,PercentOfPopulationRecoveredDecimal,PercentOfPopulationRecovered,days100
Australia,2020-03-10,1978,107.0,3.0,21.0,Australia,25499.884,4.1960975195024425e-06,0.0004196097519502442,0.02803738317757009,2.803738317757009,86.0,3.3725643614692523e-06,0.0004196097519502442,8.235331580331894e-07,8.235331580331895e-05,1
Australia,2020-03-11,2093,128.0,3.0,21.0,Australia,25499.884,5.019630677535632e-06,0.0005019630677535631,0.0234375,2.34375,107.0,4.1960975195024425e-06,0.0005019630677535631,8.235331580331894e-07,8.235331580331895e-05,2
Australia,2020-03-12,2209,128.0,3.0,21.0,Australia,25499.884,5.019630677535632e-06,0.0005019630677535631,0.0234375,2.34375,107.0,4.1960975195024425e-06,0.0005019630677535631,8.235331580331894e-07,8.235331580331895e-05,3
Australia,2020-03-13,2329,200.0,3.0,23.0,Australia,25499.884,7.843172933649423e-06,0.0007843172933649422,0.015,1.5,177.0,6.94120804627974e-06,0.0007843172933649422,9.019648873696836e-07,9.019648873696838e-05,4
Australia,2020-03-14,2454,250.0,3.0,23.0,Australia,25499.884,9.80396616706178e-06,0.000980396616706178,0.012,1.2,227.0,8.902001279692095e-06,0.000980396616706178,9.019648873696836e-07,9.019648873696838e-05,5
Australia,2020-03-15,2597,297.0,3.0,23.0,Australia,25499.884,1.1647111806469396e-05,0.0011647111806469394,0.010101010101010102,1.0101010101010102,274.0,1.074514691909971e-05,0.0011647111806469394,9.019648873696836e-07,9.019648873696838e-05,6
Austria,2020-03-08,1759,104.0,0.0,0.0,Austria,9006.398000000001,1.1547346675108072e-05,0.0011547346675108072,0.0,0.0,104.0,1.1547346675108072e-05,0.0011547346675108072,0.0,0.0,1
Austria,2020-03-09,1868,131.0,0.0,2.0,Austria,9006.398000000001,1.4545215523453436e-05,0.0014545215523453438,0.0,0.0,129.0,1.4323151164316744e-05,0.0014545215523453438,2.2206435913669373e-07,2.220643591366937e-05,2
Austria,2020-03-10,1979,182.0,0.0,4.0,Austria,9006.398000000001,2.0207856681439127e-05,0.002020785668143913,0.0,0.0,178.0,1.976372796316574e-05,0.002020785668143913,4.4412871827338746e-07,4.441287182733874e-05,3
Austria,2020-03-11,2094,246.0,0.0,4.0,Austria,9006.398000000001,2.731391617381333e-05,0.0027313916173813324,0.0,0.0,242.0,2.6869787455539943e-05,0.0027313916173813324,4.4412871827338746e-07,4.441287182733874e-05,4
