,date,country,Confirmed,Deaths,Recovered,name,pop2020,PercentOfPopulationConfirmedDecimal,PercentOfPopulationConfirmed,MortalityDecimal,MortalityPercent,active,PercentOfPopulationActiveDecimal,PercentOfPopulationActive,PercentOfPopulationRecoveredDecimal,PercentOfPopulationRecovered
28,2020-01-24,Mainland China,916.0,26.0,36.0,Mainland China,1439323.776,6.364099692326628e-07,6.364099692326628e-05,0.028384279475982533,2.8384279475982535,880.0,6.113982237169686e-07,6.364099692326628e-05,2.501174551569417e-08,2.501174551569417e-06
29,2020-01-24,Singapore,3.0,0.0,0.0,Singapore,5850.342,5.127905342969693e-07,5.127905342969693e-05,0.0,0.0,3.0,5.127905342969693e-07,5.127905342969693e-05,0.0,0.0
30,2020-01-24,South Korea,2.0,0.0,0.0,South Korea,51269.185,3.90097872630509e-08,3.90097872630509e-06,0.0,0.0,2.0,3.90097872630509e-08,3.90097872630509e-06,0.0,0.0
31,2020-01-24,Taiwan,3.0,0.0,0.0,Taiwan,23816.775,1.2596163838303045e-07,1.2596163838303045e-05,0.0,0.0,3.0,1.2596163838303045e-07,1.2596163838303045e-05,0.0,0.0
32,2020-01-24,Thailand,5.0,0.0,0.0,Thailand,69799.978,7.163326040016803e-08,7.163326040016803e-06,0.0,0.0,5.0,7.163326040016803e-08,7.163326040016803e-06,0.0,0.0
33,2020-01-24,US,2.0,0.0,0.0,US,331002.651,6.042247679762541e-09,6.042247679762541e-07,0.0,0.0,2.0,6.042247679762541e-09,6.042247679762541e-07,0.0,0.0
34,2020-01-24,Vietnam,2.0,0.0,0.0,Vietnam,97338.579,2.0546837857577518e-08,2.054683785757752e-06,0.0,0.0,2.0,2.0546837857577518e-08,2.054683785757752e-06,0.0,0.0
35,2020-01-25,Australia,4.0,0.0,0.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05,0.0,0.0,4.0,1.5686345867298847e-07,1.5686345867298846e-05,0.0,0.0
36,2020-01-25,France,3.0,0.0,0.0,France,65273.511,4.596045094004519e-08,4.596045094004519e-06,0.0,0.0,3.0,4.596045094004519e-08,4.596045094004519e-06,0.0,0.0
37,2020-01-25,Hong Kong,5.0,0.0,0.0,Hong Kong,7496.981,6.669351302877785e-07,6.669351302877785e-05,0.0,0.0,5.0,6.669351302877785e-07,6.669351302877785e-05,0.0,0.0
38,2020-01-25,Japan,2.0,0.0,0.0,Japan,126476.461,1.5813219188667842e-08,1.5813219188667842e-06,0.0,0.0,2.0,1.5813219188667842e-08,1.5813219188667842e-06,0.0,0.0
39,2020-01-25,Macau,2.0,0.0,0.0,Macau,649.335,3.080074229788938e-06,0.0003080074229788938,0.0,0.0,2.0,3.080074229788938e-06,0.0003080074229788938,0.0,0.0
40,2020-01-25,Mainland China,1399.0,42.0,39.0,Mainland China,1439323.776,9.719842215682261e-07,9.719842215682262e-05,0.03002144388849178,3.0021443888491777,1360.0,9.448881639262242e-07,9.719842215682262e-05,2.7096057642002016e-08,2.7096057642002018e-06
41,2020-01-25,Malaysia,3.0,0.0,0.0,Malaysia,32365.999,9.268986259314907e-08,9.268986259314907e-06,0.0,0.0,3.0,9.268986259314907e-08,9.268986259314907e-06,0.0,0.0
42,2020-01-25,Nepal,1.0,0.0,0.0,Nepal,29136.808,3.4320849421803517e-08,3.4320849421803515e-06,0.0,0.0,1.0,3.4320849421803517e-08,3.4320849421803515e-06,0.0,0.0
43,2020-01-25,Singapore,3.0,0.0,0.0,Singapore,5850.342,5.127905342969693e-07,5.127905342969693e-05,0.0,0.0,3.0,5.127905342969693e-07,5.127905342969693e-05,0.0,0.0
44,2020-01-25,South Korea,2.0,0.0,0.0,South Korea,51269.185,3.90097872630509e-08,3.90097872630509e-06,0.0,0.0,2.0,3.90097872630509e-08,3.90097872630509e-06,0.0,0.0
45,2020-01-25,Taiwan,3.0,0.0,0.0,Taiwan,23816.775,1.2596163838303045e-07,1.2596163838303045e-05,0.0,0.0,3.0,1.2596163838303045e-07,1.2596163838303045e-05,0.0,0.0
46,2020-01-25,Thailand,7.0,0.0,0.0,Thailand,69799.978,1.0028656456023525e-07,1.0028656456023525e-05,0.0,0.0,7.0,1.0028656456023525e-07,1.0028656456023525e-05,0.0,0.0
47,2020-01-25,US,2.0,0.0,0.0,US,331002.651,6.042247679762541e-09,6.042247679762541e-07,0.0,0.0,2.0,6.042247679762541e-09,6.042247679762541e-07,0.0,0.0
48,2020-01-25,Vietnam,2.0,0.0,0.0,Vietnam,97338.579,2.0546837857577518e-08,2.054683785757752e-06,0.0,0.0,2.0,2.0546837857577518e-08,2.054683785757752e-06,0.0,0.0
49,2020-01-26,Australia,4.0,0.0,0.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05,0.0,0.0,4.0,1.5686345867298847e-07,1.5686345867298846e-05,0.0,0.0
50,2020-01-26,Canada,1.0,0.0,0.0,Canada,37742.154,2.6495573093152022e-08,2.649557309315202e-06,0.0,0.0,1.0,2.6495573093152022e-08,2.649557309315202e-06,0.0,0.0
51,2020-01-26,France,3.0,0.0,0.0,France,65273.511,4.596045094004519e-08,4.596045094004519e-06,0.0,0.0,3.0,4.596045094004519e-08,4.596045094004519e-06,0.0,0.0
52,2020-01-26,Hong Kong,8.0,0.0,0.0,Hong Kong,7496.981,1.0670962084604456e-06,0.00010670962084604455,0.0,0.0,8.0,1.0670962084604456e-06,0.00010670962084604455,0.0,0.0
53,2020-01-26,Japan,4.0,0.0,1.0,Japan,126476.461,3.1626438377335684e-08,3.1626438377335683e-06,0.0,0.0,3.0,2.3719828783001764e-08,3.1626438377335683e-06,7.906609594333921e-09,7.906609594333921e-07
54,2020-01-26,Macau,5.0,0.0,0.0,Macau,649.335,7.700185574472344e-06,0.0007700185574472344,0.0,0.0,5.0,7.700185574472344e-06,0.0007700185574472344,0.0,0.0
55,2020-01-26,Mainland China,2062.0,56.0,49.0,Mainland China,1439323.776,1.4326172014822604e-06,0.00014326172014822604,0.027158098933074686,2.7158098933074686,2013.0,1.3985734367525657e-06,0.00014326172014822604,3.4043764729694844e-08,3.4043764729694844e-06
56,2020-01-26,Malaysia,4.0,0.0,0.0,Malaysia,32365.999,1.2358648345753208e-07,1.2358648345753208e-05,0.0,0.0,4.0,1.2358648345753208e-07,1.2358648345753208e-05,0.0,0.0
57,2020-01-26,Nepal,1.0,0.0,0.0,Nepal,29136.808,3.4320849421803517e-08,3.4320849421803515e-06,0.0,0.0,1.0,3.4320849421803517e-08,3.4320849421803515e-06,0.0,0.0
58,2020-01-26,Singapore,4.0,0.0,0.0,Singapore,5850.342,6.837207123959591e-07,6.83720712395959e-05,0.0,0.0,4.0,6.837207123959591e-07,6.83720712395959e-05,0.0,0.0
59,2020-01-26,South Korea,3.0,0.0,0.0,South Korea,51269.185,5.851468089457634e-08,5.851468089457634e-06,0.0,0.0,3.0,5.851468089457634e-08,5.851468089457634e-06,0.0,0.0
60,2020-01-26,Taiwan,4.0,0.0,0.0,Taiwan,23816.775,1.6794885117737392e-07,1.6794885117737393e-05,0.0,0.0,4.0,1.6794885117737392e-07,1.6794885117737393e-05,0.0,0.0
61,2020-01-26,Thailand,8.0,0.0,2.0,Thailand,69799.978,1.1461321664026885e-07,1.1461321664026885e-05,0.0,0.0,6.0,8.595991248020165e-08,1.1461321664026885e-05,2.8653304160067214e-08,2.8653304160067213e-06
62,2020-01-26,US,5.0,0.0,0.0,US,331002.651,1.5105619199406353e-08,1.5105619199406354e-06,0.0,0.0,5.0,1.5105619199406353e-08,1.5105619199406354e-06,0.0,0.0
63,2020-01-26,Vietnam,2.0,0.0,0.0,Vietnam,97338.579,2.0546837857577518e-08,2.054683785757752e-06,0.0,0.0,2.0,2.0546837857577518e-08,2.054683785757752e-06,0.0,0.0
64,2020-01-27,Australia,5.0,0.0,0.0,Australia,25499.884,1.9607932334123559e-07,1.9607932334123557e-05,0.0,0.0,5.0,1.9607932334123559e-07,1.9607932334123557e-05,0.0,0.0
65,2020-01-27,Cambodia,1.0,0.0,0.0,Cambodia,16718.965,5.981231493695932e-08,5.981231493695932e-06,0.0,0.0,1.0,5.981231493695932e-08,5.981231493695932e-06,0.0,0.0
66,2020-01-27,Canada,1.0,0.0,0.0,Canada,37742.154,2.6495573093152022e-08,2.649557309315202e-06,0.0,0.0,1.0,2.6495573093152022e-08,2.649557309315202e-06,0.0,0.0
67,2020-01-27,France,3.0,0.0,0.0,France,65273.511,4.596045094004519e-08,4.596045094004519e-06,0.0,0.0,3.0,4.596045094004519e-08,4.596045094004519e-06,0.0,0.0
68,2020-01-27,Hong Kong,8.0,0.0,0.0,Hong Kong,7496.981,1.0670962084604456e-06,0.00010670962084604455,0.0,0.0,8.0,1.0670962084604456e-06,0.00010670962084604455,0.0,0.0
69,2020-01-27,Ivory Coast,1.0,0.0,0.0,Ivory Coast,26378.274,3.790998607414571e-08,3.7909986074145713e-06,0.0,0.0,1.0,3.790998607414571e-08,3.7909986074145713e-06,0.0,0.0
70,2020-01-27,Japan,4.0,0.0,1.0,Japan,126476.461,3.1626438377335684e-08,3.1626438377335683e-06,0.0,0.0,3.0,2.3719828783001764e-08,3.1626438377335683e-06,7.906609594333921e-09,7.906609594333921e-07
71,2020-01-27,Macau,6.0,0.0,0.0,Macau,649.335,9.240222689366814e-06,0.0009240222689366814,0.0,0.0,6.0,9.240222689366814e-06,0.0009240222689366814,0.0,0.0
