country,date,Unnamed: 0,Confirmed,Deaths,Recovered,name,pop2020,PercentOfPopulationConfirmedDecimal,PercentOfPopulationConfirmed,MortalityDecimal,MortalityPercent,active,PercentOfPopulationActiveDecimal,PercentOfPopulationActive,PercentOfPopulationRecoveredDecimal,PercentOfPopulationRecovered,days1
 Azerbaijan,2020-02-28,1030,1.0,0.0,0.0,,,,,0.0,0.0,1.0,,,,,1
Afghanistan,2020-02-24,848,1.0,0.0,0.0,Afghanistan,38928.346,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,1.0,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,1
Afghanistan,2020-02-25,886,1.0,0.0,0.0,Afghanistan,38928.346,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,1.0,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,2
Afghanistan,2020-02-26,928,1.0,0.0,0.0,Afghanistan,38928.346,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,1.0,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,3
Afghanistan,2020-02-27,977,1.0,0.0,0.0,Afghanistan,38928.346,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,1.0,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,4
Afghanistan,2020-02-28,1031,1.0,0.0,0.0,Afghanistan,38928.346,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,1.0,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,5
Afghanistan,2020-02-29,1091,1.0,0.0,0.0,Afghanistan,38928.346,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,1.0,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,6
Afghanistan,2020-03-01,1154,1.0,0.0,0.0,Afghanistan,38928.346,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,1.0,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,7
Afghanistan,2020-03-02,1222,1.0,0.0,0.0,Afghanistan,38928.346,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,1.0,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,8
Afghanistan,2020-03-03,1297,1.0,0.0,0.0,Afghanistan,38928.346,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,1.0,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,9
Afghanistan,2020-03-04,1376,1.0,0.0,0.0,Afghanistan,38928.346,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,1.0,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,10
Afghanistan,2020-03-05,1462,1.0,0.0,0.0,Afghanistan,38928.346,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,1.0,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,11
Afghanistan,2020-03-06,1552,1.0,0.0,0.0,Afghanistan,38928.346,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,1.0,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,12
Afghanistan,2020-03-07,1651,1.0,0.0,0.0,Afghanistan,38928.346,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,1.0,2.5688222150512123e-08,2.568822215051212e-06,0.0,0.0,13
Afghanistan,2020-03-08,1753,4.0,0.0,0.0,Afghanistan,38928.346,1.0275288860204848e-07,1.0275288860204849e-05,0.0,0.0,4.0,1.0275288860204848e-07,1.0275288860204849e-05,0.0,0.0,14
Afghanistan,2020-03-09,1861,4.0,0.0,0.0,Afghanistan,38928.346,1.0275288860204848e-07,1.0275288860204849e-05,0.0,0.0,4.0,1.0275288860204848e-07,1.0275288860204849e-05,0.0,0.0,15
Afghanistan,2020-03-10,1972,5.0,0.0,0.0,Afghanistan,38928.346,1.2844111075256062e-07,1.284411107525606e-05,0.0,0.0,5.0,1.2844111075256062e-07,1.284411107525606e-05,0.0,0.0,16
Afghanistan,2020-03-11,2087,7.0,0.0,0.0,Afghanistan,38928.346,1.798175550535849e-07,1.7981755505358482e-05,0.0,0.0,7.0,1.798175550535849e-07,1.7981755505358482e-05,0.0,0.0,17
Afghanistan,2020-03-12,2203,7.0,0.0,0.0,Afghanistan,38928.346,1.798175550535849e-07,1.7981755505358482e-05,0.0,0.0,7.0,1.798175550535849e-07,1.7981755505358482e-05,0.0,0.0,18
Afghanistan,2020-03-13,2321,7.0,0.0,0.0,Afghanistan,38928.346,1.798175550535849e-07,1.7981755505358482e-05,0.0,0.0,7.0,1.798175550535849e-07,1.7981755505358482e-05,0.0,0.0,19
Afghanistan,2020-03-14,2446,11.0,0.0,0.0,Afghanistan,38928.346,2.8257044365563324e-07,2.825704436556333e-05,0.0,0.0,11.0,2.8257044365563324e-07,2.825704436556333e-05,0.0,0.0,20
